FWER,type,rho,cutoff
0.03264,Algo2 w1,0.27,0.003445637445367157
0.03308,Algo2 w2,0.27,0.0034896304589032445
0.0331,Algo2 w2 prime,0.27,0.003490597992150993
0.03005,Algo1 w1,0.28,0.003125
0.03318,Algo1 w2,0.28,0.003494382279324948
0.03323,Algo1 w2 prime,0.28,0.0035029666407134577
0.0329,Algo2 w1,0.28,0.0034553358163530567
0.03323,Algo2 w2,0.28,0.0035020908744279843
0.03324,Algo2 w2 prime,0.28,0.0035031387093850544
0.03033,Algo1 w1,0.29,0.003125
0.03391,Algo1 w2,0.29,0.003506832013779644
0.03399,Algo1 w2 prime,0.29,0.0035158827784275547
0.03355,Algo2 w1,0.29,0.0034652572573686917
0.03399,Algo2 w2,0.29,0.0035149327115823956
0.034,Algo2 w2 prime,0.29,0.0035160669575899474
0.02887,Algo1 w1,0.3,0.003125
0.0319,Algo1 w2,0.3,0.003519659303194627
0.03201,Algo1 w2 prime,0.3,0.0035291992760159187
0.03164,Algo2 w1,0.3,0.003475406166120622
0.03201,Algo2 w2,0.3,0.0035281691076738306
0.03201,Algo2 w2 prime,0.3,0.0035293963113905502
0.0294,Algo1 w1,0.31,0.003125
0.03303,Algo1 w2,0.31,0.003532877257593055
0.0331,Algo1 w2 prime,0.31,0.0035429303381005386
0.03266,Algo2 w1,0.31,0.0034857870687380436
0.0331,Algo2 w2,0.31,0.0035418138397194225
0.03311,Algo2 w2 prime,0.31,0.0035431410162357563
0.02874,Algo1 w1,0.32,0.003125
0.03206,Algo1 w2,0.32,0.003546499639478346
0.03213,Algo1 w2 prime,0.32,0.0035570908819449504
0.03169,Algo2 w1,0.32,0.003496404626327151
0.03213,Algo2 w2,0.32,0.0035558813663595142
0.03213,Algo2 w2 prime,0.32,0.003557316032362469
0.02815,Algo1 w1,0.33,0.003125
0.03172,Algo1 w2,0.33,0.0035605409070725382
0.03182,Algo1 w2 prime,0.33,0.0035716965852603177
0.03126,Algo2 w1,0.33,0.00350726364199274
0.03181,Algo2 w2,0.33,0.0035703868714717308
0.03183,Algo2 w2 prime,0.33,0.003571937082696431
0.02897,Algo1 w1,0.34,0.003125
0.03247,Algo1 w2,0.34,0.0035750162610006632
0.03251,Algo1 w2 prime,0.34,0.0035867639359855722
0.03192,Algo2 w1,0.34,0.0035183690682664033
0.03251,Algo2 w2,0.34,0.00358534631470778
0.03251,Algo2 w2 prime,0.34,0.0035870207028125115
0.02787,Algo1 w1,0.35000000000000003,0.003125
0.03158,Algo1 w2,0.35000000000000003,0.0035899416949215952
0.03165,Algo1 w2 prime,0.35000000000000003,0.0036023102899744577
0.03109,Algo2 w1,0.35000000000000003,0.0035297260151008433
0.03165,Algo2 w2,0.35000000000000003,0.003600776473429984
0.03165,Algo2 w2 prime,0.35000000000000003,0.0036025842985042615
0.02722,Algo1 w1,0.36,0.003125
0.0311,Algo1 w2,0.36,0.00360533405031616
0.03123,Algo1 w2 prime,0.36,0.0036183539297990662
0.0306,Algo2 w1,0.36,0.0035413397583384455
0.03122,Algo2 w2,0.36,0.0036166950367583356
0.03123,Algo2 w2 prime,0.36,0.003618646205674449
0.02709,Algo1 w1,0.37,0.003125
0.03076,Algo1 w2,0.37,0.0036212110760073944
0.03087,Algo1 w2 prime,0.37,0.0036349141186555003
0.03021,Algo2 w1,0.37,0.0035532157488131853
0.03085,Algo2 w2,0.37,0.003633120613290644
0.03087,Algo2 w2 prime,0.37,0.0036352257428748196
0.0266,Algo1 w1,0.38,0.003125
0.03069,Algo1 w2,0.38,0.0036375914928048463
0.03077,Algo1 w2 prime,0.38,0.0036520112176700284
0.0302,Algo2 w1,0.38,0.0035653596220696026
0.03076,Algo2 w2,0.38,0.0036500728337539885
0.03077,Algo2 w2 prime,0.38,0.0036523433303854835
0.02592,Algo1 w1,0.39,0.003125
0.0297,Algo1 w2,0.39,0.003654495063848124
0.02985,Algo1 w2 prime,0.39,0.0036696666951466935
0.0291,Algo2 w1,0.39,0.0035777772087843634
0.02985,Algo2 w2,0.39,0.003667572415390403
0.02986,Algo2 w2 prime,0.39,0.0036700204984188222
0.02649,Algo1 w1,0.4,0.003125
0.03081,Algo1 w2,0.4,0.003671942671234086
0.0309,Algo1 w2 prime,0.4,0.0036879032553954164
0.03008,Algo2 w1,0.4,0.003590474545938944
0.03088,Algo2 w2,0.4,0.003685641241579171
0.0309,Algo2 w2 prime,0.4,0.0036882800168302568
0.02536,Algo1 w1,0.41000000000000003,0.003125
0.02917,Algo1 w2,0.41000000000000003,0.003689956399624967
0.02927,Algo1 w2 prime,0.41000000000000003,0.003706744919750063
0.02861,Algo2 w1,0.41000000000000003,0.003603457888826941
0.02922,Algo2 w2,0.41000000000000003,0.003704302448688873
0.02927,Algo2 w2 prime,0.41000000000000003,0.0037071459762092122
0.02547,Algo1 w1,0.42,0.003125
0.02982,Algo1 w2,0.42,0.0037085596260074986
0.02997,Algo1 w2 prime,0.42,0.003726217127067923
0.02918,Algo2 w1,0.42,0.003616733722840714
0.02992,Algo2 w2,0.42,0.003723580520955007
0.02999,Algo2 w2 prime,0.42,0.003726643888679481
0.02464,Algo1 w1,0.43,0.003125
0.02907,Algo1 w2,0.43,0.0037277771257794787
0.02918,Algo1 w2 prime,0.43,0.0037463468438611465
0.0285,Algo2 w1,0.43,0.0036303087817493897
0.02917,Algo2 w2,0.43,0.0037435013943581423
0.02918,Algo2 w2 prime,0.43,0.0037468007981369643
0.02518,Algo1 w1,0.44,0.003125
0.0293,Algo1 w2,0.44,0.00374763517316712
0.02938,Algo1 w2 prime,0.44,0.0037671626846600037
0.02862,Algo2 w1,0.44,0.003644190056192933
0.02935,Algo2 w2,0.44,0.003764092570188542
0.02938,Algo2 w2 prime,0.44,0.0037676454011694436
0.02435,Algo1 w1,0.45,0.003125
0.02906,Algo1 w2,0.45,0.0037681616673380302
0.02923,Algo1 w2 prime,0.45,0.0037886950445548124
0.02833,Algo2 w1,0.45,0.003658384814099868
0.02918,Algo2 w2,0.45,0.003785383239946269
0.02923,Algo2 w2 prime,0.45,0.003789208179767092
0.0245,Algo1 w1,0.46,0.003125
0.02909,Algo1 w2,0.46,0.0037893862630256846
0.02917,Algo1 w2 prime,0.46,0.003810976244731942
0.02807,Algo2 w1,0.46,0.003672900617103491
